DNI          SUELDO   REGION CIUDAD 
48348142     776.50     0      0
57467587       9.36     2      0
76065818      29.37     3      0
16087764     350.93     4      0
55996658     228.27     4      0
65344818     538.06     4      0
46741222     672.50     5      0
35497281     873.62     6      0
65311705     939.11     7      0
44897763     362.27     9      0
60281936     491.27     9      0
91698927     771.81     9      0
02724286     652.56     0      1
08044878     605.01     0      1
11759956     413.26     0      1
56478042     167.93     1      1
60243555     245.46     1      1
03455736     926.40     2      1
26371155     581.19     2      1
50390868     506.84     2      1
69755936      90.84     2      1
07487131     550.68     3      1
17142618     340.49     3      1
34248626     305.20     4      1
56297539      12.26     4      1
74612399     584.03     4      1
76911340      95.26     4      1
61761152     253.92     5      1
14738097     440.29     7      1
30794395     407.74     8      1
43947739     932.60     8      1
64319529     754.67     8      1
80695788      87.08     8      1
84639529     428.43     8      1
01252996     163.99     9      1
08413784     229.73     9      1
57418418     107.45     9      1
32266748     304.28     0      2
94613810     568.40     1      2
01305624     258.24     2      2
27254586     567.56     3      2
33110197     669.82     4      2
01385644     490.99     5      2
57747793     383.86     5      2
98898814     124.95     5      2
75373743     124.14     6      2
03570492     601.97     7      2
46340713     299.40     8      2
69133069     929.02     8      2
74806403      43.39     8      2
76153275     432.51     8      2
77849958     528.89     8      2
87036159     500.81     8      2
31419379     600.36     9      2
36465782     211.68     9      2
78409503     528.71     9      2
80821396     920.24     9      2
89641421     335.86     9      2
59512183     996.24     0      3
02416949     177.00     1      3
22262754     567.04     1      3
41585795     289.67     2      3
70575321     206.01     2      3
87451659     887.12     2      3
32114613     776.04     3      3
64686248     498.36     3      3
78012497     990.03     3      3
04158660     881.30     4      3
52867621     579.84     5      3
43408282     522.65     6      3
48703729     996.75     7      3
67066249     500.46     7      3
68703135     530.62     7      3
01772890     303.33     8      3
25187190     959.73     8      3
77486715      19.70     8      3
00028624     965.06     9      3
02961682     743.44     0      4
24688209     298.90     0      4
01229904     255.19     1      4
77870460     436.60     1      4
06811972      81.30     2      4
10613202     326.59     2      4
29195746     622.28     3      4
33925857     505.46     3      4
60313750     367.34     3      4
72576335     964.85     3      4
47346619     441.65     4      4
72469786     590.05     4      4
38664370     537.98     5      4
81174232     340.41     6      4
04569917     128.88     7      4
55858699     556.02     7      4
72660336     305.25     7      4
02278611     507.55     8      4
17097467     795.70     8      4
47469841     379.88     8      4
22060049     215.27     9      4
80171692     151.35     9      4
82085273     994.04     9      4
