DNI      TELEFONO  SUELDO 
25898167 00133069  22.58 
55324914 00470124  34.64 
76532036 00962600  62.24 
01979802 00513929  67.35 
89947178 00117276  87.08 
76855542 00443376  90.84 
49241873 00759956  91.80 
22890675 00834481  97.71 
55996658 00565984 127.50 
84639529 00335928 143.11 
23089412 00706887 179.18 
76667372 00697713 206.01 
71499336 00288819 209.81 
26956429 00702567 211.68 
56297539 00348094 226.86 
60281936 00709859 227.65 
14544919 00484421 229.73 
05894428 00065818 235.93 
26276121 00901474 275.07 
84167637 00412924 282.58 
70073850 00207672 292.72 
46942590 00280524 298.90 
93209441 00724286 301.80 
27336327 00477084 305.25 
00028624 00406219 306.83 
69321801 00267605 311.10 
84353895 00616124 313.57 
84803526 00566413 315.70 
60260756 00926652 317.92 
34248626 00079444 320.36 
74044599 00864819 321.55 
59512183 00259470 324.43 
32621729 00750846 336.05 
57467587 00166342 336.10 
69262009 00451659 348.72 
02278611 00376348 355.04 
80466996 00569917 369.17 
62981776 00085273 379.69 
38888228 00537764 379.88 
14636915 00692777 383.86 
56478042 00175011 393.56 
95740084 00645630 396.81 
71899228 00316437 432.51 
60313750 00344043 434.64 
33108117 00958031 440.29 
20145550 00419379 452.99 
27612902 00710097 467.01 
07487131 00900973 468.71 
86206725 00689772 490.99 
72276965 00254586 497.53 
73363368 00258270 503.19 
52473416 00586708 522.65 
20048829 00805732 528.71 
03455736 00089172 540.26 
06939507 00110197 542.64 
20223205 00421993 579.84 
48233367 00898814 582.45 
82436840 00118606 613.38 
01690613 00962504 621.67 
54887343 00949299 622.28 
37739299 00741222 625.85 
46340713 00783898 640.42 
43268139 00617505 644.90 
50490027 00202362 649.21 
73387981 00657199 660.63 
46811305 00044878 661.30 
84210012 00947739 676.68 
67513926 00897763 690.59 
31518149 00226340 708.15 
98777856 00704567 709.27 
35939811 00955939 721.04 
92218004 00495994 732.55 
87755422 00354340 746.68 
64095060 00999932 754.99 
12255763 00964443 776.04 
33665123 00722862 782.30 
50390868 00222842 784.21 
73594324 00575198 784.37 
18502651 00705403 788.84 
49760492 00885386 793.35 
75960378 00651434 795.70 
68002245 00142618 796.23 
67681095 00187190 813.68 
69441500 00165193 841.50 
60243555 00892921 846.51 
48348142 00721860 850.55 
84661237 00036029 858.95 
35497281 00906996 862.70 
47346619 00228444 865.89 
11845894 00808933 881.30 
72713773 00152959 899.96 
32670688 00235128 904.18 
89867269 00602422 920.24 
76911340 00365084 926.66 
88219756 00517445 936.07 
19346228 00311705 940.67 
14723506 00613202 944.02 
68338082 00907669 954.86 
11154259 00031326 961.54 
87346491 00373743 987.56 
